,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9331746,0.25549442,144.0,1,session_E,22,2,001-2014,csp+lda
1,0.9210295,0.24007063,144.0,1,session_T,22,2,001-2014,csp+lda
2,0.598322,0.23598047,144.0,2,session_E,22,2,001-2014,csp+lda
3,0.56491154,0.2245008,144.0,2,session_T,22,2,001-2014,csp+lda
4,0.99414057,0.31923398,144.0,3,session_E,22,2,001-2014,csp+lda
5,0.9955556,0.22693238,144.0,3,session_T,22,2,001-2014,csp+lda
6,0.8500227,0.24247321,144.0,4,session_E,22,2,001-2014,csp+lda
7,0.792517,0.22944364,144.0,4,session_T,22,2,001-2014,csp+lda
8,0.65063494,0.27361637,144.0,5,session_E,22,2,001-2014,csp+lda
9,0.6003401,0.2689014,144.0,5,session_T,22,2,001-2014,csp+lda
10,0.81963265,0.23847961,144.0,6,session_E,22,2,001-2014,csp+lda
11,0.787746,0.22799158,144.0,6,session_T,22,2,001-2014,csp+lda
12,0.97745126,0.27240163,144.0,7,session_E,22,2,001-2014,csp+lda
13,0.85742855,0.2634862,144.0,7,session_T,22,2,001-2014,csp+lda
14,0.99897957,0.23390059,144.0,8,session_E,22,2,001-2014,csp+lda
15,1.0,0.22550778,144.0,8,session_T,22,2,001-2014,csp+lda
16,0.96701586,0.23459797,144.0,9,session_E,22,2,001-2014,csp+lda
17,0.8531519,0.24119663,144.0,9,session_T,22,2,001-2014,csp+lda
